Genre,Precision,Recall,F1-Score,Support
['Action',0.5932203389830508,0.49065420560747663,0.5370843989769821,214
'Romance'],0.5909090909090909,0.35135135135135137,0.4406779661016949,74
['Comedy',0.6029411764705882,0.3416666666666667,0.43617021276595747,120
['Western'],1.0,0.25,0.4,4
'Western'],0.6,0.25,0.35294117647058826,12
'Sport'],0.6,0.2,0.3,15
['Crime',0.41304347826086957,0.21839080459770116,0.2857142857142857,87
'Sci-Fi'],0.42857142857142855,0.20930232558139536,0.28125,43
'Thriller'],0.38571428571428573,0.20149253731343283,0.2647058823529412,134
['Biography',1.0,0.13636363636363635,0.24,22
['Adventure',0.8888888888888888,0.13114754098360656,0.22857142857142856,61
['Horror',0.4166666666666667,0.15151515151515152,0.2222222222222222,33
'War'],0.6666666666666666,0.125,0.21052631578947367,16
['Drama',0.3181818181818182,0.08139534883720931,0.12962962962962962,86
['Drama'],1.0,0.06666666666666667,0.125,45
'Drama'],0.32,0.06837606837606838,0.11267605633802817,117
'Drama',0.29411764705882354,0.062111801242236024,0.10256410256410256,161
'Mystery',0.3333333333333333,0.045454545454545456,0.08,22
'Mystery'],0.2222222222222222,0.044444444444444446,0.07407407407407407,45
'Family'],0.3333333333333333,0.041666666666666664,0.07407407407407407,24
['Animation',0.16666666666666666,0.045454545454545456,0.07142857142857142,22
'Fantasy'],0.25,0.041666666666666664,0.07142857142857142,24
'Horror',0.14285714285714285,0.03125,0.05128205128205128,32
'Adventure',0.08333333333333333,0.03508771929824561,0.04938271604938271,57
'Horror'],0.25,0.02702702702702703,0.04878048780487805,37
'Crime',0.125,0.028985507246376812,0.047058823529411764,69
'Comedy',0.5,0.022222222222222223,0.0425531914893617,45
'Action',0.0,0.0,0.0,10
'Biography',0.0,0.0,0.0,3
'Adventure'],0.0,0.0,0.0,12
'Action'],0.0,0.0,0.0,2
'Biography'],0.0,0.0,0.0,0
'History'],0.0,0.0,0.0,13
'Film-Noir'],0.0,0.0,0.0,11
'Game-Show'],0.0,0.0,0.0,0
'History',0.0,0.0,0.0,6
'Family',0.0,0.0,0.0,11
'Fantasy',0.0,0.0,0.0,16
'Crime'],0.0,0.0,0.0,34
'War',0.0,0.0,0.0,1
'Thriller',0.0,0.0,0.0,2
'Sci-Fi',0.0,0.0,0.0,10
'Sport',0.0,0.0,0.0,0
'Musical'],0.0,0.0,0.0,9
'Musical',0.0,0.0,0.0,1
'Reality-TV',0.0,0.0,0.0,0
'Romance',0.0,0.0,0.0,7
'Music'],0.0,0.0,0.0,10
'Music',0.0,0.0,0.0,4
'Comedy'],0.0,0.0,0.0,22
'Film-Noir',0.0,0.0,0.0,4
['Animation'],0.0,0.0,0.0,0
['Comedy'],0.0,0.0,0.0,14
['Action'],0.0,0.0,0.0,12
['Adventure'],0.0,0.0,0.0,3
['Family',0.0,0.0,0.0,1
['Crime'],0.0,0.0,0.0,1
['Film-Noir',0.0,0.0,0.0,0
['Fantasy',0.0,0.0,0.0,5
['Horror'],0.0,0.0,0.0,5
['Musical',0.0,0.0,0.0,0
['Mystery',0.0,0.0,0.0,1
['History',0.0,0.0,0.0,0
['Romance',0.0,0.0,0.0,2
['Romance'],0.0,0.0,0.0,0
['Sci-Fi'],0.0,0.0,0.0,6
['Sci-Fi',0.0,0.0,0.0,0
['Thriller',0.0,0.0,0.0,0
['Thriller'],0.0,0.0,0.0,6
['War',0.0,0.0,0.0,0
['War'],0.0,0.0,0.0,0
